rel_path,ok,mos,mos_0_100,duration_s,input_sr,channels,error
template_312-no11x191-no.mp3,True,2.646484375,41.162109375,26.66,24000,1,
template_313-no10x291-no.mp3,True,2.9296875,48.2421875,30.22,24000,1,
template_314-no20x773-no.mp3,True,3.01171875,50.29296875,27.24,24000,1,
template_315-no18x254-fi.mp3,True,2.357421875,33.935546875,26.66,24000,1,
template_316-no15x743-de.mp3,True,2.88671875,47.16796875,30.7,24000,1,
template_317-no15x743-no.mp3,True,3.2734375,56.8359375,28.9,24000,1,
template_318-no16x867-de.mp3,True,2.98828125,49.70703125,26.84,24000,1,
template_319-no13x312-no.mp3,True,3.232421875,55.810546875,28.84,24000,1,
template_32-no21x378-no.mp3,True,3.626953125,65.673828125,24.78,24000,1,
template_320-no17x567-no.mp3,True,2.55078125,38.76953125,29.24,24000,1,
template_321-no12x804-no.mp3,True,3.384765625,59.619140625,36.58,24000,1,
template_322-no17x194-no.mp3,True,2.712890625,42.822265625,33.88,24000,1,
template_323-no10x050-no.mp3,True,2.203125,30.078125,23.3,24000,1,
template_324-no10x236-no.mp3,True,2.3828125,34.5703125,28.34,24000,1,
template_325-no12x183-no.mp3,True,3.162109375,54.052734375,30.56,24000,1,
template_326-no13x064-sv.mp3,True,2.826171875,45.654296875,27.04,24000,1,
template_327-no21x009-no.mp3,True,3.208984375,55.224609375,33.88,24000,1,
template_328-no12x112-no.mp3,True,3.072265625,51.806640625,22.56,24000,1,
template_329-no14x136-no.mp3,True,2.8515625,46.2890625,26.68,24000,1,
template_33-no16x110-no.mp3,True,2.4296875,35.7421875,27.22,24000,1,
template_330-no12x623-no.mp3,True,2.43359375,35.83984375,21.9,24000,1,
template_331-no13x312-no.mp3,True,3.169921875,54.248046875,25.16,24000,1,
template_332-no12x129-no.mp3,True,2.97265625,49.31640625,19.8,24000,1,
template_333-no14x307-no.mp3,True,3.267578125,56.689453125,22.9,24000,1,
template_334-no13x262-no.mp3,True,2.701171875,42.529296875,34.4,24000,1,
template_335-no15x598-no.mp3,True,2.5859375,39.6484375,24.98,24000,1,
template_336-no19x173-no.mp3,True,2.71484375,42.87109375,26.52,24000,1,
template_337-no10x306-no.mp3,True,2.98828125,49.70703125,29.12,24000,1,
template_338-no11x193-no.mp3,True,3.1015625,52.5390625,25.08,24000,1,
template_339-no16x113-no.mp3,True,2.982421875,49.560546875,20.26,24000,1,
template_34-no15x094-no.mp3,True,3.029296875,50.732421875,30.76,24000,1,
template_340-no10x716-no.mp3,True,2.298828125,32.470703125,25.0,24000,1,
template_341-no13x064-no.mp3,True,2.2578125,31.4453125,40.0,24000,1,
template_342-no13x738-no.mp3,True,2.744140625,43.603515625,28.22,24000,1,
template_343-no25x337-no.mp3,True,3.23046875,55.76171875,26.8,24000,1,
template_344-no99x879-no.mp3,True,3.1171875,52.9296875,24.66,24000,1,
template_345-no12x887-no.mp3,True,2.75390625,43.84765625,21.1,24000,1,
template_346-no17x543-no.mp3,True,2.974609375,49.365234375,35.88,24000,1,
template_347-no14x711-fi.mp3,True,2.396484375,34.912109375,31.02,24000,1,
template_348-no11x191-no.mp3,True,2.87890625,46.97265625,25.26,24000,1,
template_349-no12x576-no.mp3,True,3.01953125,50.48828125,33.8,24000,1,
template_35-no11x803-no.mp3,True,2.927734375,48.193359375,39.98,24000,1,
template_350-no16x742-no.mp3,True,1.9892578125,24.7314453125,40.0,24000,1,
template_351-no17x547-no.mp3,True,3.162109375,54.052734375,19.56,24000,1,
template_352-no14x854-no.mp3,True,3.310546875,57.763671875,31.76,24000,1,
template_353-no12x652-fi.mp3,True,2.3125,32.8125,23.46,24000,1,
template_354-no19x809-no.mp3,True,2.92578125,48.14453125,29.6,24000,1,
template_355-no15x894-no.mp3,True,2.775390625,44.384765625,25.76,24000,1,
template_356-no11x895-no.mp3,True,2.935546875,48.388671875,21.98,24000,1,
template_357-no13x071-no.mp3,True,3.119140625,52.978515625,21.18,24000,1,
template_358-no12x061-no.mp3,True,2.60546875,40.13671875,26.52,24000,1,
template_359-no16x322-no.mp3,True,2.921875,48.046875,30.06,24000,1,
template_36-no15x865-no.mp3,True,2.7578125,43.9453125,22.98,24000,1,
template_360-no17x194-no.mp3,True,3.5234375,63.0859375,26.92,24000,1,
template_361-no14x764-no.mp3,True,2.125,28.125,26.76,24000,1,
template_362-no20x773-no.mp3,True,2.92578125,48.14453125,21.04,24000,1,
template_363-no14x174-no.mp3,True,3.09375,52.34375,21.94,24000,1,
template_364-no16x180-no.mp3,True,2.783203125,44.580078125,22.42,24000,1,
template_365-no21x378-no.mp3,True,3.341796875,58.544921875,23.18,24000,1,
template_366-no13x690-no.mp3,True,2.388671875,34.716796875,26.62,24000,1,
template_367-no16x180-no.mp3,True,3.919921875,72.998046875,39.98,24000,1,
template_368-no16x394-no.mp3,True,3.296875,57.421875,21.28,24000,1,
template_369-no15x865-de.mp3,True,3.28515625,57.12890625,39.98,24000,1,
template_37-no13x690-no.mp3,True,3.130859375,53.271484375,29.26,24000,1,
template_370-no17x194-no.mp3,True,2.63671875,40.91796875,24.96,24000,1,
template_371-no17x233-no.mp3,True,2.845703125,46.142578125,28.44,24000,1,
template_372-no17x624-no.mp3,True,3.140625,53.515625,40.0,24000,1,
template_373-no20x807-de.mp3,True,3.1484375,53.7109375,24.82,24000,1,
template_374-no12x129-no.mp3,True,2.50390625,37.59765625,26.92,24000,1,
template_375-no12x213-no.mp3,True,2.001953125,25.048828125,26.94,24000,1,
template_376-no12x150-no.mp3,True,2.984375,49.609375,30.62,24000,1,
template_377-no15x148-no.mp3,True,2.97265625,49.31640625,30.6,24000,1,
template_378-no98xx45-no.mp3,True,2.52734375,38.18359375,39.8,24000,1,
template_379-no14x710-no.mp3,True,2.693359375,42.333984375,22.54,24000,1,
template_38-no16x588-da.mp3,True,3.046875,51.171875,27.16,24000,1,
template_380-no12x887-de.mp3,True,3.205078125,55.126953125,22.5,24000,1,
template_381-no13x808-no.mp3,True,3.04296875,51.07421875,27.9,24000,1,
template_382-no17x233-no.mp3,True,2.4921875,37.3046875,30.2,24000,1,
template_383-no18x496-no.mp3,True,3.05078125,51.26953125,21.02,24000,1,
template_384-no17x703-no.mp3,True,2.912109375,47.802734375,26.28,24000,1,
template_385-no13x437-no.mp3,True,3.109375,52.734375,22.38,24000,1,
template_386-no12x729-no.mp3,True,2.7421875,43.5546875,28.48,24000,1,
template_387-no12x129-no.mp3,True,2.7890625,44.7265625,21.68,24000,1,
template_388-no13x861-no.mp3,True,2.71484375,42.87109375,25.32,24000,1,
template_389-no16x283-no.mp3,True,2.943359375,48.583984375,21.3,24000,1,
template_39-no16x113-no.mp3,True,3.2421875,56.0546875,23.98,24000,1,
template_390-no17x624-no.mp3,True,3.080078125,52.001953125,30.64,24000,1,
template_391-no16x586-no.mp3,True,3.0703125,51.7578125,26.14,24000,1,
template_392-no12x498-no.mp3,True,3.021484375,50.537109375,23.68,24000,1,
template_393-no16x867-no.mp3,True,2.1796875,29.4921875,29.64,24000,1,
template_394-no14x096-no.mp3,True,2.642578125,41.064453125,26.34,24000,1,
template_395-no11x622-no.mp3,True,3.087890625,52.197265625,25.16,24000,1,
template_396-no14x174-da.mp3,True,2.8984375,47.4609375,23.02,24000,1,
template_397-no17x567-no.mp3,True,3.181640625,54.541015625,27.64,24000,1,
template_398-no14x258-no.mp3,True,2.646484375,41.162109375,24.86,24000,1,
template_399-no18x630-no.mp3,True,3.111328125,52.783203125,26.08,24000,1,
template_4-no14x261-no.mp3,True,2.6875,42.1875,25.18,24000,1,
template_40-no12x887-no.mp3,True,2.806640625,45.166015625,22.82,24000,1,
template_400-no12x623-no.mp3,True,3.015625,50.390625,25.3,24000,1,
template_401-no99x698-no.mp3,True,3.0625,51.5625,24.58,24000,1,
template_402-no10x746-no.mp3,True,2.8984375,47.4609375,31.28,24000,1,
template_403-no15x450-no.mp3,True,3.568359375,64.208984375,27.46,24000,1,
template_404-no18x630-da.mp3,True,2.853515625,46.337890625,23.68,24000,1,
template_405-no20x807-no.mp3,True,3.125,53.125,25.62,24000,1,
template_406-no19x740-no.mp3,True,2.85546875,46.38671875,28.1,24000,1,
template_407-no25x337-no.mp3,True,3.171875,54.296875,22.84,24000,1,
template_408-no12x213-sv.mp3,True,3.048828125,51.220703125,28.7,24000,1,
template_409-no12x150-no.mp3,True,3.12890625,53.22265625,28.82,24000,1,
template_41-no14x854-no.mp3,True,3.23046875,55.76171875,35.88,24000,1,
template_410-no15x782-no.mp3,True,2.64453125,41.11328125,33.5,24000,1,
template_411-no10x171-no.mp3,True,2.873046875,46.826171875,28.18,24000,1,
template_412-no13x795-no.mp3,True,2.638671875,40.966796875,31.18,24000,1,
template_413-no22xx58-de.mp3,True,3.09765625,52.44140625,40.0,24000,1,
template_414-no12x279-no.mp3,True,3.11328125,52.83203125,29.18,24000,1,
template_415-no14x565-no.mp3,True,2.732421875,43.310546875,28.6,24000,1,
template_416-no20x862-no.mp3,True,2.853515625,46.337890625,24.92,24000,1,
template_417-no12x129-no.mp3,True,2.958984375,48.974609375,22.68,24000,1,
template_418-no16x283-no.mp3,True,2.697265625,42.431640625,24.22,24000,1,
template_419-no16x110-no.mp3,True,2.32421875,33.10546875,30.94,24000,1,
template_42-no16x110-de.mp3,True,3.2421875,56.0546875,27.1,24000,1,
